picture,year,longitude,latitude,building,sorce
1.jpg,1896,-2.8686,53.1872,Walmoor House,
2.jpg,1896,-2.8686,53.1872,Walmoor House,
3.jpg,1896,-2.8686,53.1872,Walmoor House,
4.jpg,1895,-2.8898,53.1910,"2–18 St Werburgh Street, Chester",
5.jpg,1895,-2.8898,53.1910,"2–18 St Werburgh Street, Chester",
6.jpg,1895,-2.8898,53.1910,"2–18 St Werburgh Street, Chester",
7.jpg,1866,-2.8698,53.1290,"St John the Baptist's Church, Aldford",
8.jpg,1866,-2.8698,53.1290,"St John the Baptist's Church, Aldford",
9.jpg,1866,-2.8698,53.1290,"St John the Baptist's Church, Aldford",
10.jpg,1894,-3.0272,53.1859,Gladstone's Library,
11.jpg,1894,-3.0272,53.1859,Gladstone's Library,
12.jpg,1894,-3.0272,53.1859,Gladstone's Library,
13.jpg,1873,-2.5462204,53.2460366,St John's Church Hartford,
14.jpg,1873,-2.5462204,53.2460366,St John's Church Hartford,
15.jpg,1873,-2.5462204,53.2460366,St John's Church Hartford,
16.jpg,1886,-2.6615,53.9848,Abbeystead House,
17.jpg,1886,-2.6615,53.9848,Abbeystead House,
18.jpg,1886,-2.6615,53.9848,Abbeystead House,
19.jpg,1891,-2.6600335,53.4680769,,
20.jpg,1891,-2.6600335,53.4680769,,
21.jpg,1891,-2.6600335,53.4680769,,
22.jpg,1885,-2.4458345,53.3986693,St Werburgh's Church,
23.jpg,1885,-2.4458345,53.3986693,St Werburgh's Church,
24.jpg,1885,-2.4458345,53.3986693,St Werburgh's Church,
25.jpg,1883,-4.0627,52.7292,,
26.jpg,1883,-4.0627,52.7292,,
27.jpg,1883,-4.0627,52.7292,,
28.jpg,1912,-2.8727,53.2012,"All Saints Church, Hoole",
29.jpg,1912,-2.8727,53.2012,"All Saints Church, Hoole",
30.jpg,1912,-2.8727,53.2012,"All Saints Church, Hoole",
31.jpg,1909,-3.185947,53.375755,St Andrews West Kirby,
32.jpg,1909,-3.185947,53.375755,St Andrews West Kirby,
33.jpg,1909,-3.185947,53.375755,St Andrews West Kirby,
34.jpg,1867,-2.6148,53.2296,Oakmere Hall,
35.jpg,1867,-2.6148,53.2296,Oakmere Hall,
36.jpg,1867,-2.6148,53.2296,Oakmere Hall,https://hk.trip.com/travel-guide/lobos-partido-1923370/tourist-attractions-photo/?locale=zh-HK&curr=USD
37.jpg,1914,-2.99606,53.355019,,
38.jpg,1914,-2.99606,53.355019,,
39.jpg,1914,-2.99606,53.355019,,
40.jpg,1894,-2.8717,53.1347,"Iron Bridge Lodge, Aldford",
41.jpg,1894,2.8717,53.1347,"Iron Bridge Lodge, Aldford",
42.jpg,1894,2.8717,53.1347,"Iron Bridge Lodge, Aldford",
43.jpg,1883,-4.8811,55.8095,Danefield House,
44.jpg,1883,-4.8811,55.8095,Danefield House,
45.jpg,1883,-4.8811,55.8095,Danefield House,
46.jpg,1888,-2.8841,53.1924,"Parker's Buildings, Chester",
47.jpg,1888,-2.8841,53.1924,"Parker's Buildings, Chester",
48.jpg,1888,-2.8841,53.1924,"Parker's Buildings, Chester",
49.jpg,1809,-3.017289,53.182697,Hawarden Castle,
50.jpg,1809,-3.017289,53.182697,Hawarden Castle,
51.jpg,1809,-3.017289,53.182697,Hawarden Castle,
52.jpg,1878,-2.8778,52.9478,Penley,
53.jpg,1881,-2.885204,53.153676,,https://i.pinimg.com/originals/84/1e/82/841e8298eba0e30028d55bebb8cd733c.jpg
54.jpg,1881,-2.885204,53.153676,,https://historicengland.org.uk/services-skills/education/educational-images/eccleston-hill-lodge-chester-approach-eaton-hall-eccleston-1582
55.jpg,1881,-2.885204,53.153676,,https://i.pinimg.com/originals/cb/97/39/cb9739366fb86fb02215626c45f278e0.jpg
56.jpg,1872,-2.966,53.233,,
57.jpg,1872,-2.966,53.233,,
58.jpg,1872,-2.966,53.233,,
59.jpg,1851,-1.26973,50.750546,奧斯本莊園,"https://zh.wikipedia.org/zh-tw/File:Osborne_House,_Isle_of_Wight,_England-LCCN2002708248.jpg"
60.jpg,1851,-1.26973,50.750546,奧斯本莊園,
61.jpg,1851,-1.26973,50.750546,奧斯本莊園,https://zh.m.wikipedia.org/wiki/File:Osborne_House_-_geograph.org.uk_-_22302.jpg
62.jpg,1826,-2.298802,53.550259,All Saints' Church,"https://en.wikipedia.org/wiki/All_Saints%27_Church,_Stand"
63.jpg,1826,-2.298802,53.550259,All Saints' Church,https://cn.dreamstime.com/%E5%85%8D%E7%89%88%E7%A8%8E%E5%9B%BE%E5%BA%93%E6%91%84%E5%BD%B1-%E8%AF%B8%E5%9C%A3%E6%97%A5%E5%A4%A7%E6%95%99%E5%A0%82%EF%BC%8C%E5%BE%B7%E6%AF%94%EF%BC%8C%E8%8B%B1%E5%9B%BD%E3%80%82-image31469347
64.jpg,1826,-2.298802,53.550259,All Saints' Church,"https://en.wikipedia.org/wiki/All_Saints%27_Church,_Stand#/media/File:AllSaintsBury.jpg"
65.jpg,1843,-0.1245,51.5007,大本鐘,
66.jpg,1843,-0.1245,51.5007,大本鐘,https://minfung.pixnet.net/blog/post/47434869
67.jpg,1843,-0.1245,51.5007,大本鐘,
68.jpg,1841,-0.133333,51.506667,The Reform Club,https://upload.wikimedia.org/wikipedia/commons/7/7f/Reform_Club_02.JPG
69.jpg,1841,-0.133333,51.506667,The Reform Club,https://lh5.googleusercontent.com/p/AF1QipNxwEVIzTmkP8T1-C2I7paUr_IjAV-7YTIOPitE=w360-h240-n-k-no
70.jpg,1841,-0.133333,51.506667,The Reform Club,
71.jpg,1837,-2.241389,53.478611,"Former Athenaeum, Princess Street, Manchester","https://en.m.wikipedia.org/wiki/File:Former_Athenaeum,_Princess_Street,_Manchester.jpg"
72.jpg,1837,-2.241389,53.478611,"Former Athenaeum, Princess Street, Manchester",https://commons.wikimedia.org/wiki/File:Manchester_Athenaeum.jpg
73.jpg,1837,-2.241389,53.478611,"Former Athenaeum, Princess Street, Manchester",https://be-tarask.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%82%D0%B0%D1%86%D0%BA%D0%B0%D1%8F_%D0%B3%D0%B0%D0%BB%D0%B5%D1%80%D1%8D%D1%8F_%D0%9C%D0%B0%D0%BD%D1%87%D1%8D%D1%81%D1%82%D1%8D%D1%80%D0%B0#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Manchester_Art_Gallery.jpg
74.jpg,1863,-1.860556,53.724444,Halifax Town Hall,"https://en.wikipedia.org/wiki/Halifax_Town_Hall#/media/File:Town_Hall,_Halifax_-_geograph.org.uk_-_1542645.jpg"
75.jpg,1863,-1.860556,53.724444,Halifax Town Hall,https://en.wikipedia.org/wiki/Halifax_Town_Hall#/media/File:Halifax_Town_Hall_084.jpg
76.jpg,1863,-1.860556,53.724444,Halifax Town Hall,https://en.wikipedia.org/wiki/Halifax_Town_Hall#/media/File:Halifax_Town_Hall_078.jpg
77.jpg,1849,-1.1033,52.1299,Shrubland Hall,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shrubland_Hall_aerial_(19734359760).jpg
78.jpg,1849,-1.1033,52.1299,Shrubland Hall,https://upload.wikimedia.org/wikipedia/commons/2/23/Shrubland_Hall.jpg
79.jpg,1849,-1.1033,52.1299,Shrubland Hall,https://houseandheritage.org/2019/05/17/shrubland-hall/
80.jpg,1839,-1.3614,51.3267,海克利爾城堡,
81.jpg,1839,-1.3614,51.3267,海克利爾城堡,https://milawang.pixnet.net/blog/post/297151265
82.jpg,1839,-1.3614,51.3267,海克利爾城堡,
83.jpg,1885,-4.292743,43.383679,El Capricho de Gaudí,
84.jpg,1885,-4.292743,43.383679,El Capricho de Gaudí,https://www.facebook.com/discoverspain/photos/a.10151429773335635/10159451547030635/?type=3
85.jpg,1885,-4.292743,43.383679,El Capricho de Gaudí,
86.jpg,1888,2.15079,41.40358,維森斯之家,
87.jpg,1888,2.15079,41.40358,維森斯之家,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Gaud%C3%AD_-_Casa_Vicens.JPG/240px-Gaud%C3%AD_-_Casa_Vicens.JPG
